ID,lat,lon,workload,conn
1,22.522803,114.218796,10280,3
2,24.28481,102.9991,4994,3
3,25.222206,117.086322,822,3
4,26.13933,103.0786,11956,10
5,26.215115,109.744661,6987,4
6,28.73874,120.6406,1103,6
7,28.812629,115.952954,89,1
8,29.15178,120.9856,80,3
9,29.263844,115.023159,5280,8
10,29.52627,119.9105,7458,3
11,30.442177,120.618727,2784,4
12,30.67994,104.0679,18,0
13,30.705762,121.33512,4080,5
14,30.71553,121.3511,10755,5
15,30.716044,121.291037,1108,2
16,30.71619,121.3495,9404,7
17,30.718108,121.283169,2210,2
18,30.7183,121.3146,3840,2
19,30.719537,121.355948,11138,4
20,30.71964,121.346,1018,1
21,30.721392,121.345766,376,3
22,30.72365,121.3308,7283,4
23,30.72456,121.344043,8873,4
24,30.7303,121.3426,3386,2
25,30.730789,121.343497,163,3
26,30.7319,121.3342,11586,6
27,30.733903,121.341904,4431,1
28,30.73407,121.3507,8876,5
29,30.734301,121.25722,1991,3
30,30.73526,121.3517,175,1
31,30.735272,121.380359,43,0
32,30.73539,121.3582,852,3
33,30.736093,121.355957,586,2
34,30.73631,121.3549,1543,5
35,30.738649,121.382934,1303,2
36,30.73964,121.3737,3976,3
37,30.739797,121.32739,7082,5
38,30.74127,121.3348,3377,9
39,30.74139,121.380141,13283,6
40,30.74169,121.3671,8544,3
41,30.746286,121.344028,6547,6
42,30.74702,121.288,2964,3
43,30.747936,121.348822,513,2
44,30.74989,121.2708,620,3
45,30.750457,121.376839,2461,5
46,30.75184,121.3601,6992,3
47,30.758612,121.320541,315,3
48,30.76359,121.2647,3400,4
49,30.763912,121.333802,575,2
50,30.7653,121.2925,125,3
51,30.766975,121.362906,5778,2
52,30.77091,121.4074,1007,2
53,30.771941,121.373524,11477,3
54,30.77358,121.1409,717,2
55,30.774911,121.259927,4193,4
56,30.77648,121.3582,2531,2
57,30.779826,121.376806,688,5
58,30.78137,121.419,1265,2
59,30.781759,121.168333,974,6
60,30.7834,121.2996,135,15
61,30.790922,121.348126,4910,2
62,30.79305,121.1762,824,3
63,30.795602,121.152307,2372,5
64,30.79636,121.1993,1055,7
65,30.796696,121.200272,720,15
66,30.79706,121.4317,3856,1
67,30.797557,121.356113,708,5
68,30.79818,121.4265,3450,4
69,30.799332,121.268825,3694,5
70,30.80004,121.4173,1830,2
71,30.801265,121.395878,3823,2
72,30.80226,121.3119,1167,4
73,30.802409,121.205114,940,6
74,30.80298,121.3973,203,5
75,30.806653,121.257345,1149,2
76,30.80728,121.3041,1321,2
77,30.808567,121.29074,4368,4
78,30.81089,121.2348,1465,4
79,30.811433,121.309343,455,2
80,30.81439,121.1828,1258,7
81,30.814573,121.352883,7521,2
82,30.81598,121.4361,19,0
83,30.816155,121.298392,1313,4
84,30.82395,121.5284,2543,8
85,30.824298,121.363989,7191,5
86,30.82472,121.4715,1897,6
87,30.827125,121.329382,726,5
88,30.82811,121.1871,551,4
89,30.829073,121.470254,29,0
90,30.82911,121.1801,1786,11
91,30.830149,121.35652,3619,6
92,30.83143,121.2423,7478,2
93,30.831909,121.397355,2750,4
94,30.83196,121.5347,280,2
95,30.83237,121.439654,409,4
96,30.8326,121.4455,1994,8
97,30.832683,121.481868,3209,14
98,30.83482,121.1978,3307,4
99,30.837343,121.275733,260,3
100,30.83814,121.189,1412,4
101,30.838466,121.228977,2620,3
102,30.8406,121.2517,8783,5
103,30.841016,121.482504,691,3
104,30.84155,121.1613,619,4
105,30.843004,121.438792,552,7
106,30.8444,121.5288,11764,6
107,30.844717,121.528288,4302,6
108,30.84472,121.2562,2130,6
109,30.846072,121.32313,47,0
110,30.84665,121.4314,847,3
111,30.847557,121.226776,5303,6
112,30.85012,121.5,2216,4
113,30.85104,121.524116,639,3
114,30.85108,121.856,4883,3
115,30.852446,121.262447,428,2
116,30.85292,121.365,766,8
117,30.853798,121.344272,1548,14
118,30.85541,121.5695,1392,2
119,30.855815,121.311882,1421,2
120,30.85842,121.0352,3629,3
121,30.860242,121.79388,8020,4
122,30.86067,121.4702,6207,5
123,30.86245,121.124035,287,3
124,30.86428,121.1127,50,5
125,30.865062,121.662776,9957,3
126,30.86625,121.343,8456,4
127,30.866289,121.103027,4631,2
128,30.86641,121.1885,815,2
129,30.86683,121.83302,492,2
130,30.86694,121.5957,723,3
131,30.867598,121.198612,1431,3
132,30.86784,121.7378,434,1
133,30.869886,121.901843,1184,2
134,30.87221,121.5301,3758,11
135,30.872829,121.424028,1048,5
136,30.87333,121.2843,6170,4
137,30.873376,121.040678,719,2
138,30.87366,121.0826,2113,3
139,30.874287,121.67603,4834,2
140,30.87456,121.0679,4351,3
141,30.874727,121.250912,127,7
142,30.87506,121.3247,6531,3
143,30.876032,121.466173,6268,5
144,30.87706,121.8564,8316,3
145,30.877822,121.548349,2717,3
146,30.87935,121.0947,260,4
147,30.879413,121.704723,155,3
148,30.88021,121.9077,177,1
149,30.880562,121.486561,8049,3
150,30.88109,121.1626,60,10
151,30.882016,121.532008,1134,7
152,30.88378,121.5732,743,5
153,30.884387,121.408648,5231,3
154,30.88781,121.3464,6042,4
155,30.88883,121.130607,10729,1
156,30.889117,121.319998,7950,2
157,30.88912,121.3171,835,3
158,30.88923,121.1771,2244,4
159,30.889354,121.488288,3477,2
160,30.88938,121.1761,7758,5
161,30.889897,121.320413,7983,5
162,30.89111,121.9037,2106,2
163,30.891157,121.186557,1710,2
164,30.89148,121.7391,3575,2
165,30.891706,121.171358,96,3
166,30.89242,121.0236,8100,5
167,30.893084,121.252519,458,8
168,30.89349,121.316,617,4
169,30.893975,121.016922,4870,2
170,30.89464,121.2102,5954,3
171,30.894923,121.319564,2306,4
172,30.89516,121.0946,4409,2
173,30.895699,121.478289,5978,7
174,30.89577,121.6973,1907,2
175,30.89659,121.281933,1376,5
176,30.89709,121.6178,4281,3
177,30.897457,121.36324,1928,11
178,30.89746,121.1512,2575,3
179,30.898128,121.536836,752,4
180,30.89853,121.2237,5744,5
181,30.898595,121.030128,3415,2
182,30.8987,121.1726,2755,1
183,30.899117,121.175731,6561,7
184,30.89946,121.165,64,6
185,30.900013,121.049649,5383,3
186,30.90053,121.2468,4132,5
187,30.900531,121.399787,2102,2
188,30.90076,121.2465,2534,5
189,30.901446,121.904248,207,4
190,30.90198,121.4523,4000,2
191,30.902581,121.167864,164,1
192,30.90304,121.9229,2879,5
193,30.903117,121.146985,395,2
194,30.90351,121.3313,7275,6
195,30.90387,121.433071,4658,5
196,30.9039,121.9062,462,3
197,30.904648,121.173227,647,2
198,30.90476,121.4679,5897,7
199,30.905367,121.832974,4864,2
200,30.90618,121.1783,2031,5
201,30.908341,121.870538,719,1
202,30.90838,121.6346,9416,5
203,30.908583,121.656169,10495,9
204,30.90989,121.1955,4892,3
205,30.910085,121.504947,6862,3
206,30.91014,121.843,10788,5
207,30.910239,121.419143,7577,2
208,30.91082,121.4652,6,0
209,30.912581,121.465142,2887,3
210,30.91291,121.8011,4115,3
211,30.914669,121.471638,5343,4
212,30.91512,121.5606,7433,6
213,30.9152,121.664095,5021,2
214,30.91569,121.4621,6058,2
215,30.915722,121.763195,8192,8
216,30.91796,121.5431,6646,3
217,30.918205,121.509992,9941,3
218,30.91828,121.6391,6456,5
219,30.918284,120.995861,77,2
220,30.918528,121.113765,35,0
221,30.91853,121.7439,317,3
222,30.91933,121.4756,8658,6
223,30.919514,121.45936,6903,3
224,30.9198,121.4596,6919,4
225,30.919873,121.464262,8349,2
226,30.92016,121.4889,5849,4
227,30.920347,121.057024,1847,3
228,30.9216,121.4713,572,2
229,30.922611,121.473581,4136,4
230,30.92313,121.4819,1441,2
231,30.92405,121.648972,1793,5
232,30.92498,121.7108,888,4
233,30.92643,121.782514,2544,3
234,30.92646,121.6827,2896,7
235,30.92668,121.466784,6564,2
236,30.9269,121.4677,4686,3
237,30.929412,121.460403,1635,4
238,30.92954,121.6164,3,0
239,30.929761,121.587992,798,2
240,30.92992,121.206,4147,6
241,30.930023,121.011969,630,2
242,30.93085,121.4901,117,3
243,30.931335,121.472783,325,2
244,30.93248,121.6927,10264,5
245,30.932543,121.716591,1210,3
246,30.93337,121.8737,6254,2
247,30.933573,121.55651,432,3
248,30.93425,121.2797,4062,5
249,30.934396,121.369499,1177,5
250,30.93503,121.1866,1246,2
251,30.935314,121.733322,6837,6
252,30.93561,121.5172,4040,4
253,30.935837,121.561311,3182,3
254,30.93587,121.6926,1397,3
255,30.936752,121.470783,1657,5
256,30.93814,121.3277,7645,7
257,30.93817,121.865652,6298,2
258,30.93918,121.2232,8293,3
259,30.939279,121.074396,557,3
260,30.94004,121.5484,602,4
261,30.940176,121.086747,219,6
262,30.9408,121.0739,789,2
263,30.941447,121.293964,8952,2
264,30.94155,121.1676,112,7
265,30.943662,121.155665,1213,1
266,30.94469,121.2993,4008,2
267,30.945306,121.729327,6147,3
268,30.94556,121.1508,5533,2
269,30.94602,121.106186,487,1
270,30.9467,121.6244,8213,1
271,30.947965,121.640593,5008,10
272,30.94812,121.3815,1196,2
273,30.948258,121.324472,1335,3
274,30.94853,121.4655,1892,4
275,30.948712,121.365593,6965,3
276,30.94924,121.0211,714,3
277,30.950067,121.449083,9516,5
278,30.95352,121.4837,64,6
279,30.953548,121.636227,3770,4
280,30.9546,121.3338,9304,7
281,30.95485,121.328077,179,1
282,30.95521,121.7324,8799,8
283,30.956183,121.908274,2772,3
284,30.95649,121.406,2030,5
285,30.956624,121.334663,8391,4
286,30.95697,121.0973,722,3
287,30.957104,121.146044,2993,2
288,30.95763,121.343,3585,4
289,30.960195,121.398632,4465,14
290,30.96048,121.0575,3471,5
291,30.960682,121.447242,5890,4
292,30.96206,121.2446,3512,2
293,30.963144,121.39936,1455,4
294,30.96349,121.1602,279,4
295,30.965531,121.208487,3136,2
296,30.96671,121.7714,3686,5
297,30.967591,121.656531,5097,7
298,30.96776,121.083,589,2
299,30.967774,121.447499,10282,5
300,30.96948,121.5397,1356,4
301,30.970389,121.451558,1818,3
302,30.97167,121.1857,1015,2
303,30.972355,121.610007,2179,3
304,30.97404,121.5542,1194,5
305,30.975236,121.195313,3803,2
306,30.97532,121.3498,433,3
307,30.97533,121.271449,7231,3
308,30.97535,121.0326,507,2
309,30.975655,121.228194,3995,3
310,30.97618,121.7506,802,6
311,30.976672,121.459345,23,0
312,30.97736,121.7481,1705,5
313,30.977517,121.669761,1795,1
314,30.97833,121.7077,4456,3
315,30.978506,121.447689,11947,5
316,30.97859,121.5817,894,3
317,30.97935,121.815249,3495,2
318,30.97942,121.0225,1368,3
319,30.981236,121.488197,523,3
320,30.98205,121.2079,6335,6
321,30.983141,121.540945,10402,3
322,30.98316,121.0541,4111,3
323,30.98383,121.235077,4759,5
324,30.98397,121.7377,899,7
325,30.984047,121.726879,1525,6
326,30.98508,121.6912,7447,5
327,30.986462,121.409757,1734,2
328,30.98709,121.5889,2990,4
329,30.988441,121.87486,4801,5
330,30.98912,121.1273,2691,2
331,30.990222,121.082742,621,3
332,30.99055,121.1262,1857,4
333,30.990721,121.803969,1349,3
334,30.99094,121.1254,1772,12
335,30.991472,121.430726,8402,7
336,30.99169,121.6397,251,7
337,30.992078,121.31207,951,3
338,30.99329,121.3677,2621,4
339,30.993467,121.234309,6044,4
340,30.99359,121.349,2531,3
341,30.993883,121.129758,6822,7
342,30.995,121.2649,2834,3
343,30.995671,121.095344,2,0
344,30.99586,121.5684,9593,5
345,30.996346,121.297687,1054,6
346,30.99741,121.2472,2668,3
347,30.998611,121.216212,10072,5
348,30.9991,121.4478,9401,9
349,30.999472,121.378674,4820,5
350,31.00066,121.6593,2818,2
351,31.00153,121.235235,699,4
352,31.00229,121.8733,2724,4
353,31.002479,121.390889,5315,3
354,31.00302,121.2548,29,0
355,31.004198,121.067198,2444,3
356,31.00572,121.202,6339,4
357,31.006332,121.579916,2119,2
358,31.00733,121.4312,7487,6
359,31.007639,121.416247,6585,2
360,31.00816,121.2744,7562,6
361,31.008378,121.431928,179,1
362,31.00942,121.2459,7305,4
363,31.00948,121.4998,6280,6
364,31.00953,121.0521,1421,3
365,31.010124,121.538644,5889,3
366,31.01033,121.3813,7837,3
367,31.010467,121.237408,3604,3
368,31.01088,121.24,1,0
369,31.011339,121.296295,1715,3
370,31.01189,121.235,9951,7
371,31.012103,121.414993,35,0
372,31.01211,121.0745,1243,3
373,31.01217,121.265575,7713,7
374,31.01221,121.4135,6922,5
375,31.012479,121.240994,428,3
376,31.01279,121.2281,374,7
