ID,lat,lon,workload,conn
1,22.522803,114.218796,10280,3
2,25.222206,117.086322,822,3
3,26.215115,109.744661,6987,4
4,28.812629,115.952954,89,1
5,29.263844,115.023159,5280,8
6,30.442177,120.618727,2784,4
7,30.705762,121.33512,4080,5
8,30.716044,121.291037,1108,2
9,30.718108,121.283169,2210,2
10,30.719537,121.355948,11138,4
11,30.721392,121.345766,376,3
12,30.72456,121.344043,8873,4
13,30.730789,121.343497,163,3
14,30.733903,121.341904,4431,1
15,30.734301,121.25722,1991,3
16,30.735272,121.380359,43,0
17,30.736093,121.355957,586,2
18,30.738649,121.382934,1303,2
19,30.739797,121.32739,7082,5
20,30.74139,121.380141,13283,6
21,30.746286,121.344028,6547,6
22,30.747936,121.348822,513,2
23,30.750457,121.376839,2461,5
24,30.758612,121.320541,315,3
25,30.763912,121.333802,575,2
26,30.766975,121.362906,5778,2
27,30.771941,121.373524,11477,3
28,30.774911,121.259927,4193,4
29,30.779826,121.376806,688,5
30,30.781759,121.168333,974,6
31,30.790922,121.348126,4910,2
32,30.795602,121.152307,2372,5
33,30.796696,121.200272,720,15
34,30.797557,121.356113,708,5
35,30.799332,121.268825,3694,5
36,30.801265,121.395878,3823,2
37,30.802409,121.205114,940,6
38,30.806653,121.257345,1149,2
39,30.808567,121.29074,4368,4
40,30.811433,121.309343,455,2
41,30.814573,121.352883,7521,2
42,30.816155,121.298392,1313,4
43,30.824298,121.363989,7191,5
44,30.827125,121.329382,726,5
45,30.829073,121.470254,29,0
46,30.830149,121.35652,3619,6
47,30.831909,121.397355,2750,4
48,30.83237,121.439654,409,4
49,30.832683,121.481868,3209,14
50,30.837343,121.275733,260,3
51,30.838466,121.228977,2620,3
52,30.841016,121.482504,691,3
53,30.843004,121.438792,552,7
54,30.844717,121.528288,4302,6
55,30.846072,121.32313,47,0
56,30.847557,121.226776,5303,6
57,30.85104,121.524116,639,3
58,30.852446,121.262447,428,2
59,30.853798,121.344272,1548,14
60,30.855815,121.311882,1421,2
61,30.860242,121.79388,8020,4
62,30.86245,121.124035,287,3
63,30.865062,121.662776,9957,3
64,30.866289,121.103027,4631,2
65,30.86683,121.83302,492,2
66,30.867598,121.198612,1431,3
67,30.869886,121.901843,1184,2
68,30.872829,121.424028,1048,5
69,30.873376,121.040678,719,2
70,30.874287,121.67603,4834,2
71,30.874727,121.250912,127,7
72,30.876032,121.466173,6268,5
